"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C1QTNF8",0.535981336364182,5.07140683311582,1.38138686357339,0.169435396162066,0.603556334225866,-4.46813177526319
"PCDHB1",0.521983609499311,0.487845538590246,1.38128924665069,0.169465331169977,0.603556334225866,-4.46820191618416
"ZC3H6",-68.4526391098855,1759.90313739674,-1.38096349334017,0.169565255040131,0.603800978160951,-4.46843594609143
"KLHDC7A",-12.9454945265296,269.428120897517,-1.3806874362398,0.169649969706647,0.603991383861675,-4.46863423147224
"ALPK1",91.6414437997237,4361.59003295435,1.38023533618835,0.169788776622597,0.604335866494069,-4.46895888228932
"TDG",-79.5298083388202,2849.84941085105,-1.38007149711234,0.169839100886825,0.604335866494069,-4.46907650914987
"PGS1",-215.28562158282,8534.21299296272,-1.37997491995441,0.169868770500564,0.604335866494069,-4.46914583961923
"TMEM119",-333.175830113059,4737.46074558702,-1.37996515015184,0.169871772115082,0.604335866494069,-4.46915285287145
"ATP10D",-85.0472673326544,2511.30406362989,-1.37977112590628,0.169931391267507,0.604421312680257,-4.46929212330187
"TMEM123",-493.575618113287,9926.58303098686,-1.3796835038298,0.1699583206978,0.604421312680257,-4.46935501219424
"ARMC8",-110.941468923846,3885.77761493021,-1.37953917832752,0.170002684190952,0.604467885006344,-4.46945859042066
"PADI3",-1.1360890111862,11.7307858733777,-1.37932269274578,0.170069245063747,0.604557298448351,-4.4696139363579
"TNFRSF11B",-37.8466289405989,783.252585620041,-1.37917512101675,0.170114628933274,0.604557298448351,-4.46971981762268
"UBE3C",-222.755676197881,10970.4078212917,-1.37915229950156,0.170121648228793,0.604557298448351,-4.46973619086541
"SPIN2B",-27.708220673566,605.552772824464,-1.37903937402261,0.170156384354589,0.604569605282652,-4.4698172051622
"SMARCA5",-328.246917987661,10599.5405172365,-1.37891444738108,0.170194818325796,0.604595043710821,-4.46990682184596
"EME2",-156.517899144578,5874.51314811139,-1.37833776306614,0.170372321868763,0.605021720474729,-4.47032040797428
"NUCB2",135.641393252376,3096.20607122956,1.37832087694661,0.170377521532403,0.605021720474729,-4.47033251585133
"RORC",-228.54603194353,9587.12925877543,-1.37820752337356,0.170412429079295,0.605034541590622,-4.47041379023343
"PIK3R5",-178.877716815219,3120.42664924032,-1.37806936396154,0.170454982979442,0.605047231970145,-4.47051284170436
"CWC25",-107.834594185556,5889.87975458655,-1.37787291360914,0.170515504687967,0.605047231970145,-4.4706536676552
"FLT3",-30.4468337620378,371.171545767257,-1.37782553694803,0.170530102753033,0.605047231970145,-4.47068762685705
"PLXND1",-389.260711850216,5860.35696013543,-1.37774027829458,0.170556375696863,0.605047231970145,-4.47074873673875
"CCNB1IP1",-91.6421740742944,2315.96209475384,-1.37758779030618,0.170603373392545,0.605047231970145,-4.47085802478615
"FAM228A",-1.83346294191541,14.6061808666295,-1.37755915227633,0.170612200895984,0.605047231970145,-4.47087854835036
"FCMR",-1162.9150383442,9900.89243453734,-1.37748490966692,0.17063508735264,0.605047231970145,-4.47093175272201
"DOP1B",-244.166526529878,9398.17422598439,-1.37734375814053,0.170678605952769,0.605078807934209,-4.47103289834654
"TAOK1",-222.751205120528,6779.92750557302,-1.37725300350616,0.170706591065238,0.605078807934209,-4.47109792557787
"HYAL1",-19.3010334390141,320.056526050452,-1.37705433829214,0.170767863630628,0.605185030193821,-4.47124025821955
"RALGDS",-324.141430639502,16002.7249245145,-1.37688925189347,0.170818792447682,0.605254562976281,-4.4713585185134
"OSGIN1",-359.310391098876,9190.43949075573,-1.37672185081517,0.1708704470839,0.605326641566053,-4.47147842304948
"TOPORS",-75.0634405694791,2992.28771878271,-1.37625626331887,0.17101417474443,0.605724812414678,-4.47181183632982
"SLIT2",-42.4228911886102,637.889106938214,-1.37595395158888,0.171107547901598,0.605760857105563,-4.47202826777721
"KCNF1",-7.15980187832741,74.6421989966942,-1.37591033872684,0.171121021522396,0.605760857105563,-4.47205948739531
"ABCA1",-151.762477478018,2303.29268126157,-1.37590356357582,0.171123114688387,0.605760857105563,-4.47206433720114
"YEATS2",-163.15462056589,5345.22181734709,-1.37556357110108,0.171228179411687,0.605760857105563,-4.47230768205806
"RLIG1",-30.2943781779021,587.303008652847,-1.37545359388674,0.171262175102262,0.605760857105563,-4.47238638436155
"PCBP2",-1616.59921899859,58632.9630469071,-1.37541063451752,0.171275455908198,0.605760857105563,-4.47241712546572
"CTPS2",-80.123820302681,3419.70292861326,-1.37532449774731,0.17130208727303,0.605760857105563,-4.4724787609195
"COG6",-84.5613112400524,3291.01040221131,-1.37522804349687,0.171331912268575,0.605760857105563,-4.47254777468574
"SPRING1",-132.194585631384,4868.81743278074,-1.37513859447173,0.171359574663944,0.605760857105563,-4.47261177200905
"FGF3",0.385894598313095,0.758777397369434,1.37506614244558,0.171381983161497,0.605760857105563,-4.47266360570865
"ZC2HC1A",-21.8187589280372,283.288160522376,-1.3750492290855,0.171387214569705,0.605760857105563,-4.47267570550411
"IGSF1",-5.42797822575822,57.5088842421435,-1.37495632165928,0.171415953574294,0.605760857105563,-4.47274216880783
"AFG2B",-45.4321493090863,1721.37119627077,-1.37476590692798,0.171474865860689,0.605760857105563,-4.47287837257312
"PCDH11Y",-14.6463934318358,68.2221027412542,-1.37456575186692,0.171536808220897,0.605760857105563,-4.47302152409238
"STK17A",-255.72294885446,3914.59326503376,-1.37438230827818,0.171593593722653,0.605760857105563,-4.47315270595323
"GALNT13",11.648433092062,274.998026351514,1.37437741333225,0.1715951091624,0.605760857105563,-4.47315620613501
"CIMAP1C",-3.63566285816837,45.1712982203964,-1.3743706771692,0.171597194646173,0.605760857105563,-4.47316102287863
