"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRIM5",196.82128139741,-0.305602563017009,0.0907280603666877,-3.36833568117605,0.000756234603331173,0.0679469983962035
"PIP4K2C",274.628928507387,0.582651543851826,0.173578100671623,3.35671113808355,0.000788754716419597,0.0704832910839254
"NT5DC4",8.11537425893757,-2.02530485629467,0.603862222711929,-3.35391879160626,0.00079675742675338,0.0708176748131975
"CCL21",1905.8127984433,-1.39207743851798,0.416573078059508,-3.34173644874649,0.000832560715650878,0.0736063385895385
"INCENP",120.84624816306,-0.516882473793946,0.155036961615877,-3.33393062149003,0.000856280129371818,0.0741262084910885
"KLF9",529.602406993264,-0.483357629735429,0.144920002618464,-3.33534102264669,0.000851948512410853,0.0741262084910885
"MS4A12",5.07332829041168,2.10733338932327,0.632049114026304,3.33412917217628,0.000855669108767823,0.0741262084910885
"SLFN13",72.4452305191162,-0.787332809611132,0.235864360465942,-3.3380745105186,0.000843611239915387,0.0741262084910885
"RGS13",77.6462822958968,-0.970396076275798,0.291476152049197,-3.32924690220286,0.000870811703854226,0.0749935820194875
"CLDND2",21.9840606478502,-0.865291274794705,0.260022807257787,-3.3277514534979,0.000875499383785701,0.075008635350011
"ADAMTSL3",29.1417436087566,-0.955488806390435,0.287587802007513,-3.32242466377442,0.000892387653313249,0.0753944527942074
"FNBP4",458.411506500363,-0.370178763442797,0.111457126835074,-3.32126597871628,0.000896100957550019,0.0753944527942074
"PLA2G2D",233.409510746015,-1.52302254066239,0.458654773554485,-3.32062943302489,0.000898147022035561,0.0753944527942074
"RCSD1",363.825901855573,-0.622182098297498,0.187132387753672,-3.3248231680584,0.000884746307850771,0.0753944527942074
"CHODL",18.978083521382,-0.984366071598495,0.296688329816719,-3.31784560655484,0.000907146123309956,0.0756869253230449
"MED28",455.084685998895,-0.239820121094566,0.0723059437112696,-3.31674145699848,0.000910738527441729,0.0756869253230449
"THAP4",299.734782655702,0.380177137447909,0.114692927255364,3.31473916086774,0.000917286747625925,0.0758518558820422
"TCN1",10.7693025070333,1.61359937901156,0.487216859401869,3.31187098285657,0.000926742744080471,0.0762544116305025
"CCDC69",794.6635810714,-0.683133915038271,0.206739977666087,-3.30431454404829,0.000952089449035764,0.0779540824257312
